code,name,market,主力控盘日期,控盘程度,main_cost_value
002221,,002221.sz,NA,,NA
002222,,002222.sz,NA,,NA
002223,,002223.sz,NA,,NA
002224,,002224.sz,NA,,NA
002225,,002225.sz,NA,,NA
002226,,002226.sz,NA,,NA
002227,,002227.sz,NA,,NA
002228,,002228.sz,NA,,NA
002229,,002229.sz,NA,,NA
002230,,002230.sz,NA,,NA
002231,,002231.sz,NA,,NA
002232,,002232.sz,NA,,NA
002233,,002233.sz,NA,,NA
002235,,002235.sz,NA,,NA
002236,,002236.sz,NA,,NA
002237,,002237.sz,NA,,NA
002238,,002238.sz,NA,,NA
002239,,002239.sz,NA,,NA
002240,,002240.sz,NA,,NA
002241,,002241.sz,NA,,NA
002242,,002242.sz,NA,,NA
002243,,002243.sz,NA,,NA
002244,,002244.sz,NA,,NA
002245,,002245.sz,NA,,NA
002246,,002246.sz,NA,,NA
002247,,002247.sz,NA,,NA
002249,,002249.sz,NA,,NA
002250,,002250.sz,NA,,NA
002251,,002251.sz,NA,,NA
002252,,002252.sz,NA,,NA
002253,,002253.sz,NA,,NA
002254,,002254.sz,NA,,NA
002255,,002255.sz,NA,,NA
002256,,002256.sz,NA,,NA
002258,,002258.sz,NA,,NA
002259,,002259.sz,NA,,NA
002260,,002260.sz,NA,,NA
002261,,002261.sz,NA,,NA
002262,,002262.sz,NA,,NA
002263,,002263.sz,NA,,NA
002264,,002264.sz,NA,,NA
002265,,002265.sz,NA,,NA
002266,,002266.sz,NA,,NA
002267,,002267.sz,NA,,NA
002268,,002268.sz,NA,,NA
002269,,002269.sz,NA,,NA
002270,,002270.sz,NA,,NA
002271,,002271.sz,NA,,NA
002272,,002272.sz,NA,,NA
002273,,002273.sz,NA,,NA
002274,,002274.sz,NA,,NA
002275,,002275.sz,NA,,NA
002276,,002276.sz,NA,,NA
002277,,002277.sz,NA,,NA
002278,,002278.sz,NA,,NA
002279,,002279.sz,NA,,NA
002280,,002280.sz,NA,,NA
002281,,002281.sz,NA,,NA
